Seq,Form,Time_UTC,Run_ID,NAVAREA,Warning_ID,Type,PSN_Lat,PSN_Lon,Dist_NM,Band,Plotted,Source_Kind,Source_URL,Status,Notes
1,NS-01,2026-03-20T23:09:29Z,20260320_230929Z,IV,NAVAREA IV 20260320_230929Z,LINE,10.365667,-60.604667,79.7,AMBER,YES,MANUAL,,OK,
2,NS-01,2026-03-20T23:10:08Z,20260320_231008Z,IV,NAVAREA IV 20260320_231008Z,AREA,21.600000,-85.975000,39.2,RED,YES,MANUAL,,OK,
3,NS-01,2026-03-20T23:11:00Z,20260320_231100Z,IV,NAVAREA IV 20260320_231100Z,POINT,27.173333,-90.366667,95.8,AMBER,YES,MANUAL,,OK,
4,NS-01,2026-03-20T23:11:31Z,20260320_231131Z,IV,NAVAREA IV 20260320_231131Z,POINT,27.173333,-90.366667,80.2,AMBER,YES,MANUAL,,OK,
5,NS-01,2026-03-20T23:22:49Z,20260320_232249Z,IV,NAVAREA IV 219/26(GEN).,LINE,46.666667,-53.166667,1533.2,AMBER,YES,MANUAL,,OK,
6,NS-01,2026-03-20T23:22:49Z,20260320_232249Z,IV,"NAVAREA IV 218/26(27,28).",LINE,21.600000,-85.975000,39.2,RED,YES,MANUAL,,OK,
7,NS-01,2026-03-20T23:22:49Z,20260320_232249Z,IV,"NAVAREA IV 217/26(11,26).",AREA,31.950000,-77.016667,479.5,AMBER,YES,MANUAL,,OK,
8,NS-01,2026-03-20T23:22:49Z,20260320_232249Z,IV,"NAVAREA IV 215/26(11,26).",AREA,31.950000,-77.016667,479.5,AMBER,YES,MANUAL,,OK,
9,NS-01,2026-03-20T23:22:49Z,20260320_232249Z,IV,NAVAREA IV 213/26(25).,POINT,14.583333,-61.789333,179.4,AMBER,YES,MANUAL,,OK,
10,NS-01,2026-03-20T23:22:50Z,20260320_232250Z,IV,"NAVAREA IV 207/26(11,26).",AREA,29.016667,-75.000000,480.9,AMBER,YES,MANUAL,,OK,
11,NS-01,2026-03-20T23:22:50Z,20260320_232250Z,IV,NAVAREA IV 204/26(GEN).,POINT,27.173333,-90.366667,95.8,AMBER,YES,MANUAL,,OK,
12,NS-01,2026-03-20T23:22:50Z,20260320_232250Z,IV,NAVAREA IV 189/26(24).,LINE,10.365667,-60.604667,79.7,AMBER,YES,MANUAL,,OK,
13,NS-01,2026-03-20T23:22:50Z,20260320_232250Z,IV,NAVAREA IV 180/26(28).,AREA,15.785667,-88.604333,378.1,AMBER,YES,MANUAL,,OK,
14,NS-01,2026-03-20T23:22:50Z,20260320_232250Z,IV,NAVAREA IV 167/26(11).,AREA,27.402333,-92.096833,22.8,RED,YES,MANUAL,,OK,
15,NS-01,2026-03-20T23:22:50Z,20260320_232250Z,IV,NAVAREA IV 161/26(24).,POINT,10.812000,-61.364333,58.8,AMBER,YES,MANUAL,,OK,
16,NS-01,2026-03-20T23:22:50Z,20260320_232250Z,IV,NAVAREA IV 158/26(26).,AREA,15.796667,-79.848333,175.0,AMBER,YES,MANUAL,,OK,
17,NS-01,2026-03-20T23:22:50Z,20260320_232250Z,IV,NAVAREA IV 153/26(24).,LINE,11.422500,-58.640667,109.1,AMBER,YES,MANUAL,,OK,
18,NS-01,2026-03-20T23:22:51Z,20260320_232251Z,IV,NAVAREA IV 133/26(26).,LINE,16.469667,-75.608167,110.7,AMBER,YES,MANUAL,,OK,
19,NS-01,2026-03-20T23:22:51Z,20260320_232251Z,IV,NAVAREA IV 127/26(GEN).,LINE,41.700000,-70.500000,184.2,AMBER,YES,MANUAL,,OK,
20,NS-01,2026-03-20T23:22:51Z,20260320_232251Z,IV,NAVAREA IV 113/26(26).,POINT,9.381667,-79.898333,503.2,AMBER,YES,MANUAL,,OK,
21,NS-01,2026-03-20T23:22:51Z,20260320_232251Z,IV,NAVAREA IV 99/26(24).,AREA,7.050000,-59.960000,258.0,AMBER,YES,MANUAL,,OK,
22,NS-01,2026-03-20T23:22:51Z,20260320_232251Z,IV,NAVAREA IV 98/26(24).,AREA,8.000000,-57.165000,168.0,AMBER,YES,MANUAL,,OK,
23,NS-01,2026-03-20T23:22:51Z,20260320_232251Z,IV,NAVAREA IV 79/26(24).,POINT,10.087833,-61.279500,99.2,AMBER,YES,MANUAL,,OK,
24,NS-01,2026-03-20T23:22:51Z,20260320_232251Z,IV,NAVAREA IV 55/26(26).,POINT,20.720000,-75.319167,230.1,AMBER,YES,MANUAL,,OK,
25,NS-01,2026-03-20T23:22:51Z,20260320_232251Z,IV,NAVAREA IV 53/26(28).,POINT,25.237333,-97.128667,278.4,AMBER,YES,MANUAL,,OK,
26,NS-01,2026-03-20T23:22:52Z,20260320_232252Z,IV,NAVAREA IV 27/26(24).,POINT,11.177000,-60.727000,33.5,RED,YES,MANUAL,,OK,
27,NS-01,2026-03-20T23:22:52Z,20260320_232252Z,IV,NAVAREA IV 19/26(24).,POINT,10.049500,-61.927833,93.1,AMBER,YES,MANUAL,,OK,
28,NS-01,2026-03-20T23:22:52Z,20260320_232252Z,IV,NAVAREA IV 16/26(11).,AREA,27.889333,-95.683000,50.0,RED,YES,MANUAL,,OK,
29,NS-01,2026-03-20T23:22:52Z,20260320_232252Z,IV,NAVAREA IV 7/26(24).,AREA,8.011000,-56.743000,178.6,AMBER,YES,MANUAL,,OK,
30,NS-01,2026-03-20T23:22:52Z,20260320_232252Z,IV,NAVAREA IV 1431/25(24).,AREA,8.162167,-57.162167,153.9,AMBER,YES,MANUAL,,OK,
31,NS-01,2026-03-20T23:22:52Z,20260320_232252Z,IV,NAVAREA IV 1430/25(24).,AREA,8.266000,-57.037167,194.6,AMBER,YES,MANUAL,,OK,
32,NS-01,2026-03-20T23:22:53Z,20260320_232253Z,IV,NAVAREA IV 1413/25(24).,POINT,6.965500,-57.809000,250.2,AMBER,YES,MANUAL,,OK,
33,NS-01,2026-03-20T23:22:53Z,20260320_232253Z,IV,NAVAREA IV 1404/25(24).,POINT,10.058833,-61.625833,94.6,AMBER,YES,MANUAL,,OK,
34,NS-01,2026-03-20T23:22:53Z,20260320_232253Z,IV,NAVAREA IV 1391/25(24).,POINT,11.221833,-68.438000,291.8,AMBER,YES,MANUAL,,OK,
35,NS-01,2026-03-20T23:22:53Z,20260320_232253Z,IV,NAVAREA IV 1292/25(15).,LINE,61.548667,-59.386333,2287.6,AMBER,YES,MANUAL,,OK,
36,NS-01,2026-03-20T23:22:53Z,20260320_232253Z,IV,NAVAREA IV 1282/25(25).,POINT,16.333333,-61.005500,279.6,AMBER,YES,MANUAL,,OK,
37,NS-01,2026-03-20T23:22:53Z,20260320_232253Z,IV,NAVAREA IV 1175/25(24).,POINT,11.043167,-64.377167,146.4,AMBER,YES,MANUAL,,OK,
38,NS-01,2026-03-20T23:22:54Z,20260320_232254Z,IV,NAVAREA IV 1174/25(24).,POINT,11.502500,-69.555667,243.0,AMBER,YES,MANUAL,,OK,
39,NS-01,2026-03-20T23:22:54Z,20260320_232254Z,IV,NAVAREA IV 1170/25(15).,AREA,58.816667,-68.316833,2001.6,AMBER,YES,MANUAL,,OK,
40,NS-01,2026-03-20T23:22:54Z,20260320_232254Z,IV,NAVAREA IV 1158/25(24).,POINT,10.223167,-64.703667,181.8,AMBER,YES,MANUAL,,OK,
41,NS-01,2026-03-20T23:22:54Z,20260320_232254Z,IV,NAVAREA IV 1114/25(24).,POINT,11.148333,-60.845000,38.0,RED,YES,MANUAL,,OK,
42,NS-01,2026-03-20T23:22:54Z,20260320_232254Z,IV,NAVAREA IV 1009/25(24).,POINT,10.138333,-60.991667,97.6,AMBER,YES,MANUAL,,OK,
43,NS-01,2026-03-20T23:22:54Z,20260320_232254Z,IV,NAVAREA IV 998/25(24).,POINT,10.471500,-61.563833,71.6,AMBER,YES,MANUAL,,OK,
44,NS-01,2026-03-20T23:22:55Z,20260320_232255Z,IV,NAVAREA IV 872/25(25).,LINE,1.319614,-69.275167,614.7,AMBER,YES,MANUAL,,OK,
45,NS-01,2026-03-20T23:22:55Z,20260320_232255Z,IV,NAVAREA IV 829/25(24).,POINT,10.696833,-61.754167,55.5,AMBER,YES,MANUAL,,OK,
46,NS-01,2026-03-20T23:22:55Z,20260320_232255Z,IV,NAVAREA IV 789/25(24).,POINT,10.604167,-66.945167,299.9,AMBER,YES,MANUAL,,OK,
47,NS-01,2026-03-20T23:22:55Z,20260320_232255Z,IV,NAVAREA IV 761/25(24).,POINT,6.080167,-55.213667,130.0,AMBER,YES,MANUAL,,OK,
48,NS-01,2026-03-20T23:22:55Z,20260320_232255Z,IV,NAVAREA IV 693/25(28).,AREA,15.848333,-87.375000,243.8,AMBER,YES,MANUAL,,OK,
49,NS-01,2026-03-20T23:22:55Z,20260320_232255Z,IV,NAVAREA IV 671/25(24).,POINT,10.841333,-64.156333,137.3,AMBER,YES,MANUAL,,OK,
50,NS-01,2026-03-20T23:22:56Z,20260320_232256Z,IV,NAVAREA IV 667/25(25).,POINT,14.605333,-61.062333,177.2,AMBER,YES,MANUAL,,OK,
51,NS-01,2026-03-20T23:22:56Z,20260320_232256Z,IV,NAVAREA IV 663/25(26).,POINT,9.392000,-79.897833,502.6,AMBER,YES,MANUAL,,OK,
52,NS-01,2026-03-20T23:22:56Z,20260320_232256Z,IV,NAVAREA IV 650/25(26).,POINT,9.392000,-79.895833,502.6,AMBER,YES,MANUAL,,OK,
53,NS-01,2026-03-20T23:22:56Z,20260320_232256Z,IV,NAVAREA IV 644/25(24).,POINT,11.201333,-70.777833,238.3,AMBER,YES,MANUAL,,OK,
54,NS-01,2026-03-20T23:22:56Z,20260320_232256Z,IV,NAVAREA IV 643/25(24).,POINT,10.900000,-65.205000,195.8,AMBER,YES,MANUAL,,OK,
55,NS-01,2026-03-20T23:22:56Z,20260320_232256Z,IV,NAVAREA IV 616/25(GEN).,LINE,41.700000,-70.505000,184.2,AMBER,YES,MANUAL,,OK,
56,NS-01,2026-03-20T23:22:56Z,20260320_232256Z,IV,NAVAREA IV 563/25(24).,POINT,11.082000,-64.216667,136.6,AMBER,YES,MANUAL,,OK,
57,NS-01,2026-03-20T23:22:56Z,20260320_232256Z,IV,NAVAREA IV 546/25(11).,POINT,29.883333,-89.945000,184.2,AMBER,YES,MANUAL,,OK,
58,NS-01,2026-03-20T23:22:56Z,20260320_232256Z,IV,NAVAREA IV 517/25(11).,AREA,27.176833,-93.726833,10.9,RED,YES,MANUAL,,OK,
59,NS-01,2026-03-20T23:22:57Z,20260320_232257Z,IV,NAVAREA IV 504/25(26).,POINT,9.381667,-79.898333,503.2,AMBER,YES,MANUAL,,OK,
60,NS-01,2026-03-20T23:22:57Z,20260320_232257Z,IV,NAVAREA IV 466/25(26).,POINT,12.480833,-81.730500,390.6,AMBER,YES,MANUAL,,OK,
61,NS-01,2026-03-20T23:22:57Z,20260320_232257Z,IV,NAVAREA IV 428/25(24).,POINT,12.171833,-68.863667,231.5,AMBER,YES,MANUAL,,OK,
62,NS-01,2026-03-20T23:22:57Z,20260320_232257Z,IV,NAVAREA IV 354/25(24).,AREA,10.998000,-64.284167,69.2,AMBER,YES,MANUAL,,OK,
63,NS-01,2026-03-20T23:22:57Z,20260320_232257Z,IV,NAVAREA IV 312/25(24).,POINT,11.811667,-66.184667,248.9,AMBER,YES,MANUAL,,OK,
64,NS-01,2026-03-20T23:22:57Z,20260320_232257Z,IV,NAVAREA IV 311/25(24).,POINT,11.807167,-66.200000,249.8,AMBER,YES,MANUAL,,OK,
65,NS-01,2026-03-20T23:22:57Z,20260320_232257Z,IV,NAVAREA IV 183/25(24).,POINT,11.381667,-63.120000,69.7,AMBER,YES,MANUAL,,OK,
66,NS-01,2026-03-20T23:22:58Z,20260320_232258Z,IV,NAVAREA IV 155/25(24).,POINT,11.106667,-74.855000,313.7,AMBER,YES,MANUAL,,OK,
67,NS-01,2026-03-20T23:22:58Z,20260320_232258Z,IV,NAVAREA IV 130/25(28).,POINT,17.203333,-87.530000,277.1,AMBER,YES,MANUAL,,OK,
68,NS-01,2026-03-20T23:22:58Z,20260320_232258Z,IV,NAVAREA IV 90/25(28).,POINT,19.142667,-95.808000,473.7,AMBER,YES,MANUAL,,OK,
69,NS-01,2026-03-20T23:22:58Z,20260320_232258Z,IV,NAVAREA IV 12/25(28).,POINT,16.106667,-88.276667,355.3,AMBER,YES,MANUAL,,OK,
70,NS-01,2026-03-20T23:22:58Z,20260320_232258Z,IV,NAVAREA IV 1553/24(27).,POINT,21.578500,-81.638333,153.5,AMBER,YES,MANUAL,,OK,
71,NS-01,2026-03-20T23:22:58Z,20260320_232258Z,IV,NAVAREA IV 1524/24(25).,AREA,17.451000,-63.935667,348.6,AMBER,YES,MANUAL,,OK,
72,NS-01,2026-03-20T23:22:58Z,20260320_232258Z,IV,NAVAREA IV 1382/24(25).,POINT,18.464333,-69.876333,219.5,AMBER,YES,MANUAL,,OK,
73,NS-01,2026-03-20T23:22:58Z,20260320_232258Z,IV,NAVAREA IV 1125/24(28).,POINT,16.210000,-88.503333,356.1,AMBER,YES,MANUAL,,OK,
74,NS-01,2026-03-20T23:22:58Z,20260320_232258Z,IV,NAVAREA IV 797/24(25).,POINT,12.595833,-61.407333,67.9,AMBER,YES,MANUAL,,OK,
75,NS-01,2026-03-20T23:22:58Z,20260320_232258Z,IV,NAVAREA IV 746/24(14).,POINT,47.898833,-46.795667,2280.5,AMBER,YES,MANUAL,,OK,
76,NS-01,2026-03-20T23:22:59Z,20260320_232259Z,IV,"NAVAREA IV 733/24(11,13).",LINE,41.713333,-70.505000,184.2,AMBER,YES,MANUAL,,OK,
77,NS-01,2026-03-20T23:22:59Z,20260320_232259Z,IV,NAVAREA IV 722/24(28).,POINT,17.470000,-87.491667,261.8,AMBER,YES,MANUAL,,OK,
78,NS-01,2026-03-20T23:22:59Z,20260320_232259Z,IV,NAVAREA IV 703/24(28).,POINT,19.312667,-87.446000,169.5,AMBER,YES,MANUAL,,OK,
79,NS-01,2026-03-20T23:22:59Z,20260320_232259Z,IV,NAVAREA IV 702/24(28).,POINT,24.487167,-97.742667,328.1,AMBER,YES,MANUAL,,OK,
80,NS-01,2026-03-20T23:22:59Z,20260320_232259Z,IV,NAVAREA IV 701/24(28).,POINT,24.627000,-97.716167,322.9,AMBER,YES,MANUAL,,OK,
81,NS-01,2026-03-20T23:22:59Z,20260320_232259Z,IV,NAVAREA IV 437/24(26).,POINT,13.573500,-80.091833,279.8,AMBER,YES,MANUAL,,OK,
82,NS-01,2026-03-20T23:22:59Z,20260320_232259Z,IV,NAVAREA IV 325/24(24).,POINT,7.044500,-57.977500,259.5,AMBER,YES,MANUAL,,OK,
83,NS-01,2026-03-20T23:23:00Z,20260320_232300Z,IV,NAVAREA IV 214/24(24).,POINT,12.156167,-68.326833,253.5,AMBER,YES,MANUAL,,OK,
84,NS-01,2026-03-20T23:23:00Z,20260320_232300Z,IV,NAVAREA IV 177/24(24).,POINT,11.134500,-60.775833,36.9,RED,YES,MANUAL,,OK,
85,NS-01,2026-03-20T23:23:00Z,20260320_232300Z,IV,NAVAREA IV 161/24(24).,POINT,10.091667,-65.178333,210.5,AMBER,YES,MANUAL,,OK,
86,NS-01,2026-03-20T23:23:00Z,20260320_232300Z,IV,NAVAREA IV 151/24(24).,POINT,10.703333,-62.140000,54.9,AMBER,YES,MANUAL,,OK,
87,NS-01,2026-03-20T23:23:00Z,20260320_232300Z,IV,NAVAREA IV 12/24(24).,AREA,8.011000,-56.743000,180.2,AMBER,YES,MANUAL,,OK,
88,NS-01,2026-03-20T23:23:00Z,20260320_232300Z,IV,NAVAREA IV 1404/23(28).,POINT,22.115000,-91.398333,194.4,AMBER,YES,MANUAL,,OK,
89,NS-01,2026-03-20T23:23:01Z,20260320_232301Z,IV,NAVAREA IV 1403/23(28).,POINT,18.274167,-87.835000,231.4,AMBER,YES,MANUAL,,OK,
90,NS-01,2026-03-20T23:23:01Z,20260320_232301Z,IV,NAVAREA IV 1377/23(25).,POINT,18.613333,-68.325000,274.9,AMBER,YES,MANUAL,,OK,
91,NS-01,2026-03-20T23:23:01Z,20260320_232301Z,IV,NAVAREA IV 959/23(24).,POINT,8.556667,-59.995833,191.3,AMBER,YES,MANUAL,,OK,
92,NS-01,2026-03-20T23:23:01Z,20260320_232301Z,IV,NAVAREA IV 873/23(28).,POINT,15.865000,-87.965000,360.5,AMBER,YES,MANUAL,,OK,
93,NS-01,2026-03-20T23:23:01Z,20260320_232301Z,IV,NAVAREA IV 356/23(28).,POINT,20.211333,-87.430000,135.3,AMBER,YES,MANUAL,,OK,
94,NS-01,2026-03-20T23:23:01Z,20260320_232301Z,IV,NAVAREA IV 222/23(25).,AREA,18.226667,-63.069167,402.7,AMBER,YES,MANUAL,,OK,
95,NS-01,2026-03-20T23:23:02Z,20260320_232302Z,IV,NAVAREA IV 748/22(24).,POINT,11.990000,-68.643333,248.2,AMBER,YES,MANUAL,,OK,
96,NS-01,2026-03-20T23:23:02Z,20260320_232302Z,IV,NAVAREA IV 441/22(26).,POINT,17.741667,-77.158333,23.5,RED,YES,MANUAL,,OK,
97,NS-01,2026-03-20T23:23:02Z,20260320_232302Z,IV,NAVAREA IV 439/22(28).,POINT,21.526667,-86.805000,66.1,AMBER,YES,MANUAL,,OK,
98,NS-01,2026-03-20T23:23:02Z,20260320_232302Z,IV,NAVAREA IV 367/22(28).,POINT,19.785000,-87.463333,151.2,AMBER,YES,MANUAL,,OK,
99,NS-01,2026-03-20T23:23:02Z,20260320_232302Z,IV,NAVAREA IV 227/22(25).,POINT,19.803333,-70.695000,284.2,AMBER,YES,MANUAL,,OK,
100,NS-01,2026-03-20T23:23:02Z,20260320_232302Z,IV,NAVAREA IV 141/22(28).,POINT,16.108333,-88.266667,354.9,AMBER,YES,MANUAL,,OK,
101,NS-01,2026-03-20T23:23:03Z,20260320_232303Z,IV,NAVAREA IV 120/22(25).,POINT,18.138333,-68.755000,237.3,AMBER,YES,MANUAL,,OK,
102,NS-01,2026-03-20T23:23:03Z,20260320_232303Z,IV,NAVAREA IV 1157/21(26).,POINT,20.062222,-72.967222,294.1,AMBER,YES,MANUAL,,OK,
103,NS-01,2026-03-20T23:23:03Z,20260320_232303Z,IV,NAVAREA IV 1003/21(28).,POINT,15.925000,-87.603333,349.1,AMBER,YES,MANUAL,,OK,
104,NS-01,2026-03-20T23:23:03Z,20260320_232303Z,IV,NAVAREA IV 778/21(28).,POINT,20.973333,-97.308333,446.1,AMBER,YES,MANUAL,,OK,
105,NS-01,2026-03-20T23:23:03Z,20260320_232303Z,IV,NAVAREA IV 278/21(28).,POINT,18.704722,-95.188333,478.6,AMBER,YES,MANUAL,,OK,
106,NS-01,2026-03-20T23:23:04Z,20260320_232304Z,IV,NAVAREA IV 277/21(28).,POINT,18.212500,-94.133333,466.4,AMBER,YES,MANUAL,,OK,
107,NS-01,2026-03-20T23:23:04Z,20260320_232304Z,IV,NAVAREA IV 144/21(28).,POINT,20.836667,-86.916667,93.3,AMBER,YES,MANUAL,,OK,
